,VehId,tile_ID_x,tile_ID_y,day_x,contagem
6287,371,78354,64044,Wednesday,2
6300,371,78354,75364,Saturday,4
6301,371,78354,75364,Wednesday,4
6303,371,78354,77928,Saturday,2
6304,371,78354,78354,Friday,2
6306,371,78354,78354,Saturday,2
6308,371,78354,78354,Thursday,3
6309,371,78354,78354,Tuesday,2
6310,371,78354,78354,Wednesday,4
6330,372,49552,51163,Monday,2
6339,372,50386,51163,Monday,2
6340,372,50386,51163,Sunday,2
6341,372,50386,51164,Monday,5
6342,372,50386,51164,Sunday,2
6351,372,51163,58234,Monday,2
6352,372,51163,58235,Monday,6
6357,372,51163,59070,Sunday,4
6370,372,58233,51164,Sunday,2
6378,372,58233,78354,Sunday,2
6384,372,58235,58223,Monday,2
6390,372,59895,78354,Sunday,2
6408,372,62804,58235,Tuesday,2
6426,372,78321,66071,Sunday,2
6427,372,78322,66071,Sunday,2
6462,382,46245,20908,Tuesday,2
6463,382,46245,20908,Wednesday,2
6485,382,50386,49952,Thursday,2
6505,382,56959,51591,Wednesday,2
6549,384,51163,40957,Friday,2
6560,384,64033,54884,Friday,2
6561,384,64033,54884,Thursday,6
6566,384,66449,65691,Thursday,4
6577,384,68170,65691,Friday,2
6583,384,69900,78354,Thursday,2
6609,384,78321,65691,Thursday,2
6613,384,78322,65691,Thursday,2
6615,384,78322,71961,Thursday,2
6618,384,78354,65691,Thursday,5
6647,385,36120,48204,Saturday,2
6689,385,48204,36135,Saturday,7
6690,385,48204,36135,Sunday,2
6740,388,39692,66030,Friday,2
6742,388,39692,66030,Thursday,2
6743,388,39692,66030,Wednesday,4
6755,388,39703,43380,Monday,2
6780,388,45813,66030,Friday,4
6782,388,45813,66030,Sunday,3
6783,388,45813,66030,Thursday,4
6784,388,45813,66030,Tuesday,8
6785,388,45813,66030,Wednesday,4
6796,388,48204,66030,Monday,3
6798,388,48204,66030,Tuesday,2
6813,388,52334,66030,Thursday,2
6815,388,52334,66030,Wednesday,2
6844,388,66030,37640,Monday,2
6846,388,66030,38478,Wednesday,2
6874,388,66449,37267,Monday,2
6875,388,66449,37267,Saturday,3
6876,388,66449,37267,Sunday,2
6877,388,66449,37267,Thursday,6
6878,388,66449,37267,Tuesday,3
6884,388,66449,38478,Monday,2
6885,388,66449,38478,Saturday,4
6886,388,66449,38478,Wednesday,3
6887,388,66449,38479,Monday,4
6889,388,66449,38479,Sunday,3
6891,388,66449,38479,Wednesday,5
6901,388,66449,40098,Friday,3
6902,388,66449,40098,Monday,4
6904,388,66449,40098,Sunday,3
6905,388,66449,40098,Thursday,3
6906,388,66449,40098,Tuesday,2
6907,388,66449,40098,Wednesday,6
6910,388,66449,44596,Monday,2
6913,388,66449,45002,Tuesday,4
6917,388,66449,45341,Tuesday,2
6921,388,66449,45817,Monday,3
6922,388,66449,45817,Thursday,2
6923,388,66449,45817,Tuesday,3
6933,388,66449,48226,Monday,2
6937,388,66449,50278,Friday,2
6955,388,66449,66047,Tuesday,2
6964,388,66449,75312,Monday,2
6965,388,66449,75312,Thursday,2
6966,388,66449,75312,Tuesday,4
6967,388,66449,75312,Wednesday,2
6968,388,66449,75313,Monday,2
6973,388,75312,66449,Monday,2
6976,388,75312,66449,Tuesday,3
6977,388,75312,66449,Wednesday,2
6981,388,75736,66449,Wednesday,2
6982,389,21285,51163,Friday,2
7014,450,29719,74563,Monday,2
7057,450,64044,74563,Monday,2
7058,450,64044,74563,Tuesday,2
7063,450,64462,74563,Monday,2
7088,450,66520,74563,Monday,2
7089,450,66520,74563,Sunday,2
7090,450,66520,74563,Wednesday,2
7108,450,69852,77895,Saturday,2
7129,450,72018,74563,Saturday,2
7140,450,74155,74563,Monday,2
7141,450,74155,74563,Saturday,2
7142,450,74155,74563,Sunday,4
7145,450,74155,74563,Wednesday,2
7147,450,74155,74564,Thursday,2
7150,450,74155,74987,Saturday,3
7151,450,74155,74987,Sunday,2
7153,450,74155,74988,Friday,2
7163,450,74551,74563,Saturday,2
7165,450,74551,74563,Tuesday,3
7167,450,74555,74563,Friday,2
7168,450,74555,74563,Monday,2
7187,450,74556,74563,Monday,4
7188,450,74556,74563,Saturday,2
